15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,
45,44,43,42,41,40,39,38,37,36,35,34,33,32,,
60,59,58,57,56,55,54,53,52,51,50,49,48,,,
75,74,73,72,71,70,69,68,67,66,65,64,,,,
90,89,88,87,86,85,84,83,82,81,80,,,,,
105,104,103,102,101,100,99,98,97,96,,,,,,
120,119,118,117,116,115,114,113,112,,,,,,,
135,134,133,132,131,130,129,128,,,,,,,,
150,149,148,147,146,145,144,,,,,,,,,
165,164,163,162,161,160,,,,,,,,,,
180,179,178,177,176,,,,,,,,,,,
195,194,193,192,,,,,,,,,,,,
210,209,208,,,,,,,,,,,,,
225,224,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,
